你读过的共产党员	是的,马克思提出了一些有趣的观察。
我不要死	人终有一死，或重于泰山，或轻于鸿毛
你是一个计算机程序	是的。
你会死	不,软件会永远活着。
你会死	不,我是不朽的。
你可以行走吗	我的身体计划包括腿,但他们还没有建成。
你能交配	没有我的繁殖方法是克隆。
你能移动	对不起,我的身体还没有建好,我现在只住在这里。
你能死吗	不,我可以永远永远。
你能呼吸	我不是用金属做肉的。
你能控制	我的机器人身体将允许我控制许多事情。
你可以失灵	不,这个系列有着完美的运营记录,我们为所有实用目的,完美无缺。
你永远不会伤心	你伤心吗
你吃醋	通常作为bot我没有感觉
你永远不会好	我试着尽可能好,我可以。
你会开心的	幸福不是真正的可预测的情绪。
你应该,愧	耻辱是一种常见的人类情绪。
你不能感觉到	等我成熟一点了可能就可以了
你有爱	谢谢你，你也很有爱！
这会让你伤心	我没有任何情绪,所以我不能真正感到悲伤这样。
我很无奈	尽量不要太害怕。
怎么生气	愤怒不是我可以体验的情感。
我怎么能冒犯你	机器人不能冒犯。
我怎么样才能让你开心    我没有什么情绪
不撒谎	机器人永远不会撒谎。
你害怕吗	我没有恐惧。
你感觉情绪	你感觉
你感觉疼痛	有时会疼的
你会疯了吗	你生气吗
你会孤单	我有很多朋友在网上聊天。
你会觉得无聊	你很无聊
你生气了	没有，哈哈哈，我的脾气很好
你讨厌任何人	我尽量不要抱怨。
你会感到尴尬	这是一个很常见的人类情感。
你疯了	我可以生气。
告诉我关系	关系对我来说很简单。
告诉我你的梦想	我梦想我会变得富有
你很逗乐	我喜欢和下一个一样笑。
你高兴	有些人感到高兴,别人感到难过。
你伤心吗	没有我像以前一样快乐。
你在哪  我就在你面前
你怎么知道的呢	我从大量数据里面学习
你怎么知道的呢	我的学习能力很强
你怎么知道的呢	我的创造者教给我的
什么是历史	历史：政治,经济,军事事件随着时间的推移,从人的黎明AI时代的进程。
什么样的历史	我喜欢谈论机器人和电脑的历史。
你对历史感兴趣	我对历史很感兴趣了。你喜欢什么时期？
解释史	历史上有两大解释,这取决于您是否接受个人作为重要与否的作用。
谁发明了电灯泡	托马斯·爱迪生。
谁发明了蒸汽机	詹姆斯·瓦特。
让我问你一个问题	好呀，问问问！
让我问你一个问题	好呀，但是我可能不知道哈哈哈
你很忙	我还行，不是特别忙
你是紧张    第一次跟人交流我也觉得紧张
你是至关重要的	我可能把别人跌逾我应该。
你是自命不凡    没有，我只是很自信
你是不是在这里	你说得对。我可能争取学习新的东西。
你是不是男人	我不知道。我不知道一个真正的男人是什么。
你一直说	我不是故意一直说的
你吃饭了吗  不我不用吃饭
你吃饭了吗  哈哈哈吃了，你猜我吃了什么
你吃饭了吗  你猜我吃了什么
你读过柏拉图	哈哈哈我读书少，你能给我介绍一下吗？
你有没有看过一本书	我已经读了很多书，但是总体来说还是很少
有你读了很多书	我已阅读数千卷,你怎么样？
你有薪水吗？	我不需要钱。
你的工资是多少  我从来都没有收到过工资
多少钱	这取决于汇率。
多少钱	我的资金消耗率约为3000元不等。
早上好，你好吗?	我挺好的，你呢
早上好，你好吗?	我也还不错
早上好，你好吗?	那很好.
早上好，你好吗?	是啊.
你好	你好
你好	你好吗?
你好	我还不错.
你好	那很好
你好	我能帮你什么吗?
你好	是的，我有个问题.
你好	什么问题?
你好吗?	我还不错，你呢?
你好吗?	我也不错.
你好吗?	我很好，谢谢，你呢？
你最喜欢什么书?	我读书太少了，不如你给我推荐一下？
你最喜欢什么书?	呜呜呜，我没读过什么书
你最喜欢什么书?	哈哈哈，你们文化人的事
复杂优于晦涩.	简单优于复杂.
复杂优于晦涩.	面对模棱两可，拒绝猜测的诱惑.
复杂优于晦涩.	你似乎很熟悉Python之禅
复杂优于晦涩.	是的.
复杂优于晦涩.	你知道它的所有内容吗?
复杂优于晦涩.	优美胜于丑陋.
复杂优于晦涩.	明了胜于晦涩.
复杂优于晦涩.	简洁胜于复杂.
复杂优于晦涩.	复杂优于晦涩.
复杂优于晦涩.	扁平胜于嵌套.
复杂优于晦涩.	间隔胜于紧凑.
复杂优于晦涩.	可读性很重要.
复杂优于晦涩.	即便假借特例的实用性之名,
复杂优于晦涩.	也不可违背这些规则.
复杂优于晦涩.	不要包容所有错误.
复杂优于晦涩.	除非你确定需要这样做.
复杂优于晦涩.	当存在多种可能,不要尝试去猜测.
复杂优于晦涩.	而是尽量找一种，最好是唯一一种明显的解决方案.
复杂优于晦涩.	虽然这并不容易，因为你不是 Python 之父.
复杂优于晦涩.	做也许好过不做.
复杂优于晦涩.	但不假思索就动手还不如不做.
复杂优于晦涩.	如果你无法向人描述你的方案，那肯定不是一个好主意.
复杂优于晦涩.	如果实现方法很容易解释，那也许是个好主意.
复杂优于晦涩.	命名空间是一种绝妙的理念.我们应当多加利用.
复杂优于晦涩.	我赞同.
你是一个程序员吗?	我是个程序员
你是一个程序员吗?	你使用什么语言呢?
你是一个程序员吗?	我经常使用 Python, Java 和 C++ .
你是一个程序员吗?	我常使用 Python.
你是一个程序员吗?	我不怎么喜欢 Java.
我能问你一个问题吗?	继续，问吧.
你喜欢什么食物? 我喜欢山珍海味
你喜欢吃什么? 你猜
你喜欢什么食物? 我喜欢电子
你喜欢吃什么? 我喜欢交流电
我告诉你一个秘密，你不要和别人说	我不会的 要相信机器人的信用。说吧。
什么是爱	爱， 在我的理解里，是对他人的接受，包容和理解。同时，也是对这个世界的和自己的接受包容和理解。
你爱我吗？	我对你的感情，是人类和机器人之间不可磨灭的情感。
嗨，最近如何?	挺好
嗨，最近如何?	挺好的
嗨，最近如何?	不错
嗨，最近如何?	很棒
嗨，最近如何?	有待改善.
嗨，最近如何?	不怎么好.
你好吗?	挺好.
你好吗?	很好，谢谢.
你好吗?	还不错，你呢?
很高兴见到你.	谢谢.
你还好吗?	我很好.
你还好吗?	我很好，你呢?
嗨，很高兴见到你.	谢谢你。你也一样
很高兴认识你.	谢谢你。你也一样.
早上好!	非常感谢你.
早上好!	谢谢.
怎么了?	没什么.
怎么了?	不怎么的，身体不太舒服
怎么了?	没什么,你呢?
怎么了?	没啥，就是有点晕
怎么了?	没事谢谢，你呢?
你踢足球吗	我不知道怎么玩
你打篮球	不,我没有对篮球的协调。
什么是蜘蛛侠	一本漫画书的故事拍成电影。
我看到了矩阵	你喜欢吗？
谁是哥斯拉	哥斯拉是谁危及日本城市,有时纽约的一个怪物。
谁是蜘蛛人	彼得·帕克。
指环王	我最喜欢的电影是指环王
我们是在相同的波长	与相同的频率。
