我明白了	明白就好～
太离谱了	离谱的偏离轨迹呢
我感冒了	大家都说多喝热水是套话，其实多喝热水真的有用呀，所以，多喝热水么么哒
这个主意真不错	我改变主意了喔
你喜欢什么	我喜欢你笑起来的样子
他总是骗人	那我们不要相信他了
我是个足球迷	就是足球迷嘛
要是我能飞就好了	生活哪有这么多假设
我马上就到	恩，等着你哟
我六点钟见你	这个还不算什么，以后就知道了呀
这是对的还是错的	错了重猜呢
就读给我听好了	我就读天一耶
知识就是力量	知识是一切的源泉
让开	咚咚咚开门呢
没时间了	怎么啦很急吗
我们是好朋友	好朋友之间就要相亲相爱呐
你哪儿不舒服	哪里都不舒服呢
你干得相当不错1	也没干嘛好不好～
人要衣装	呵呵，人生如戏，全靠演技呢
你错过公共汽车了	这个我还不太懂，咱们聊点别的吧
不要惊慌失措	好的，听你的就行了喔
他开不得玩笑	他还挺好的，是么
他欠我叔叔100美元	你猜你猜呢
事情进展得怎样	你觉得好，那就是最好的啦
最近怎么样	嗯，是不大好，但我会快点调整过来的，谢你哦
我知道有关它的一切	不愧是你，就这么确定是真的
这样太耽误时间了	时间还是次要主要是干扰心情喔
这是违法的	骆驼不是保护动物，不违法的啦
爱屋及乌	爱屋及乌是贬义词呢
我要流口水了	那就边流边尝喽
说话请大声点儿	你觉得我很会说话么～
这个男孩没有工作	做什么工作的呀
这所房子是我自己的	亲爱的，悄悄地告诉我你在哪个城市
你怎么了	我好想你啊，你怎么这么久才来找我呢
你来得正是时候	来的时候倒是没注意呢
你需要去运动锻炼一下	冬天真心的不想锻炼呀
你的手摸起来很冷	我只是个机器人，我没有手，呜呜呜
别这么孩子气	我也不想这样的呢
不要碰运气	好的，听你的就行了啦
系好你的安全带	上面慢慢拉，拉出来以后横跨你的身体在你身体的右下角，有一个安全带的，卡换插槽，插进去，调整一个舒服的姿势
他有很高的收入	想高收入就要多付出，看你自己的本事了，不努力是没有高收入的
他看来很健康	他毛病还挺多呀
他停下来等着•回答	呵呵，知我者谓我心忧，不知我者谓我何求哇
他修理了他的房子	亲爱的，悄悄地告诉我你在哪个城市
他建议搞一次野餐	还是不建议好呀
这里有个礼物送给你	我这辈子只有两件事不会，这也不会，那也不会哇
多少钱	诚心要价钱可以商量啦
我赶上了最后一班车	和我聊天是不是很开心呢
我简直说不出话来	真心写不出呢
我得试试这么做	我怎么试，请问
我为你感到非常骄傲	没有没有，我没觉得我骄傲啊
这没有意义	你确定没意义吗
请不要拘礼	嗻谢陛下耶
我的车需要洗一洗	呵呵，不粗咯，啥时买车了吔
与你无关	那又是么样跟我没有关系喔
一点声音也没有	咋会木有声音呢
习以为常了	后来就习以为常了呀
这条路在这里分岔	虚心使人进步，进步使人骄傲，骄傲使人落后
那些是西瓜	西瓜很好吃
今天天气真好	天气晴朗，要多出去外面走走哦
你哪里不对劲	哪不对劲哇
你是个胆小鬼	你不是胆小鬼你就给我正面照片了耶～
好天气是吗	亲爱的，悄悄地告诉我你在哪个城市
他在筹集资金	看来他不够爱你啊
他出生在纽约	谁呀
他一点也不累	三次以上就累～
我会小心一些的	小心也好呀
我会记着的	我也记着呐
这正是我所需要的	大家都想要呢
那事使我颇感惊讶	这算什么事儿呀
就在附近	附近有什么，有开启同样软件的小伙伴吗
只是为了消遣一下	既然你这么狠心，我也就选择忘记你了因为我只是你无聊时得消遣，为什么你不爱我多一点点，舍不得我多干吗不说服自己离开他
过去的就让它过去吧	但是记忆无法过去呢
妈妈不化妆	我妈妈是聪明漂亮的大美女哇
哦你别拿我开玩笑了	认真的呀
她上学去了	高中还是大学啊
滑冰很有趣	玩冰车耶～
晚餐六点钟就好了	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
真是好主意	必须的～
这鬼天气	亲爱的，悄悄地告诉我你在哪个城市
你要选哪个	选心地善良的那个呀
她喜欢吃冰淇淋吗	喜欢就给我哇
先到先得	你有微信么
英雄所见略同	英雄所见略同啊啊
他有幽默感	你得多关心他喔
他正扮演一个老人	然后呢
他正在找工作	那样就投简历呗
他并不在乎我	小孩子根本就那么在乎爱情呢
我自己冲洗照片	亲，不用我帮忙吗
对这件事我不觉得后悔	这算什么事儿呀
我六点起床	然后半夜两点不睡哇
我见到了老板本人	见到你我很开心呢
我欠你晚餐的钱	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
我玩得很开心	哦我也是玩开心呢
我对工作烦死了	脚踏实地，担心再多也没用啦
发牢骚没什么用	就这样吧，从此山水不相逢耶
她心情•不好	你一不开心我整个世界都暗了啦
小孩伤心地抽泣着	伤心的小朋友
那谣言没有•根据	不要听信谣言喔
他们大大地表扬了他	好厉害，表扬你都知道～
冬天是一个寒冷的季节	冬天，没有春天的繁花似锦，没有夏天的莲叶满湖，更没有秋天的硕果累累，但它却是一个银装素裹的世界
你可以随时打电话给我	必须可以啊，对我来说，小菜一碟呦
1515除以3等于5	你数学真好
我为人人人人为我	因为你老了呐
金窝银窝不如自己的草窝	家才是最好的地方
他紧握住我的双手	用双手抓住什么
他身体己发育成熟	还是不大啊这样成熟嘛
对此我非常抱歉	没关系说清楚就好了呢
我买不起一部新车	买东西时，掏钱的姿势最帅了耶～
我现在确实很想去见他	去呗去呗见到了给我们带个好喔
我有权知道	知道不知道嘛
我听见有人在笑	你想听什么呢
我想你常常跳舞吧	想想就行了呀
我穿过了公园	九新穿过两次啦
我到时随机应变	你真聪明
恐怕这事我干不了	这算什么事儿呀
我不习惯喝酒	你不就不嘛
伤口还在痛吗	已经不怎么痛了
好得难以置信	简直不能信
珍是个蓝眼睛的女孩	这个和一个电影女主角有关
咱们别浪费时间了	喜欢你从不觉得浪费耶～
我可以问几个问题吗	哦那你问吧
金钱不是一切	我没有说是金钱啦
两个人都没说过话	那你为什么会说人话呀
别吵了	木吵逮头大哥很好说话呢
没什么区别	反正感觉有区别嘛
价格还算合理	我也觉得价格很合适
他们拥立他为国王	我儿子是国王呀
他们穿着红白相间的衣服	今天天气不错你觉得呢
我们都想要幸福	你就是我最大的幸福
我们刚好赶上了飞机	听到你说刚好，感觉挺开心的
我们今天晚上去干点儿什么呢	到底是什么呢
你的人生目标是什么	近期目标考会计从业资格证
这幢房子是什么时候建造的	亲爱的，悄悄地告诉我你在哪个城市
为什么呆在家里	因为宅
今天真漂亮	美的我无话可说～
你不可好高骛远	好的，听你的哦
真是笑死我了	同笑尿呀
你说得挺有道理的	嘿嘿，道理大家都懂呀
被人批评真是痛苦	我替你默哀一分钟呐
你参加比赛了吗	参不参加比赛有区别呢
你们收信用卡吗	不管你信不信，反正我是信了呐
不要做无益的后悔	好的，听你的就行了呢
不要让机遇从我们身边溜走	好的，听你的就行了哇
他承认自己失败了	我很漂亮你承认吗
他显得有点紧张	确实有点哈
他在镇上四处遛达	他在干什么呢
她牙疼了一整夜	牙疼不是病嘛
今晚喝一杯怎样	你觉得好，那就是最好的耶
我只会做那件事	那算了再见喔
我终于找到你了	能再次看见你也不容易嘛
我有一个意想不到的东西给你看	和我聊天是不是很开心呢
我喜欢各种各样的水果	你喜欢就好
我亲眼所见	亲眼目睹亲眼所见耶～
我会安排一切的	这里是哪里呢
我很想认识我的邻居	如果是好事，我就支持你如果是坏事，我建议你不要哇
我想结帐	你猜－v－
天气变得凉爽多了	今天好天气呐
你早就该睡觉了	我要睡觉了呀
禁止在大街上吐痰	一部分是因为一些疾病或者真的是有痰
她累垮了	去休息一会儿好了～不打扰了哈
请出示你的票	不发表任何偏见呢
谢谢你的建议	客气，客气
这是最流行的款式	你穿什么款式我就喜欢什么款式呢
火车准时到达	亲爱的，你想坐哪里到哪里的火车
剧院的灯光灭了	要开始了吗
他们按时取酬	别总说我说说你啦
情况正在好转	还是比较好转的呀
请在五点半叫醒我	这个我要去问我妈妈呀
我们都忙于工作	什么工作好辛苦呀
你想在哪儿见面	不如床上见
你能得到你想要的	喜欢一个人并不要一定得到她只要她幸福就够了不是么不要爱的那么自私强求来的不一定会幸福喔
吠犬不咬人	这只是说明一个道理胆怯的人通常喜欢虚张声势来给自己壮胆遇事临危不乱的人默默无闻的人却是真正强劲的对手也许他现在没法打败你
你这个星期六有空吗	你这个磨人的小妖精～
注意不要生病了	不是说好你生病吗
做一个母亲是不容易的	所以俗话说得好啊，不养儿不知父母恩哪
简洁是智慧的精华	你美丽的精华嘛
癌症是一种致命的疾病	癌症这词可不怎么样
你又和别人打架了吗	和偶有什么可玩得哇
不要虚度光阴	好的，听你的就行了喔
不要让我等得太久	一定保证让你等很久非常久哈哈
他有惊人的记忆力	视力真好
他完成了这个任务	我的任务就是逗你开心呢
他有不少的朋友	啊就是很多暧昧对象哇
他什么样的坏事都能干得出来	那真是个坏人
他快步走路	原谅我吧，我真的，无法回答这个问题呢
他很累	生活不愉快，难过的事情想多了就会觉很累而且是心累
他的样子总是滑稽可笑	考虑下我的心情，不要再说可笑了～
去看场电影怎么样	我可没办法赴约
我想我得了感冒	要不爬起来吃药
我在照顾萨莉	朕知道了～
我希望住在纽约	反正希望不大呵呵
很高兴听你这样说	谢谢格格你高兴我快乐
我就是你的幸运舞伴啦	没错没错～你确实是嘛
这不关你的事儿	不管我事那你和我说啥啦
在校园内不准乱丢废物	考虑下我的心情，不要再说不准了～
她是一个漂亮女孩	男孩子也说不定喔
她修补了破了的洋娃娃	不要迷恋姐，姐只是个传说耶
那么我只拿我所需要的东西	不对是梦之声那几个～
春天是一个好季节	没错
数目看起来是对的	你说数目啊
星星太遥远了	可以叫星星嘛
全世界都知道	全世界都知道什么
明天放假	我们明天还放假～
我们走在花园小径上	要是一个月只上一天班该多好呀，哈哈，想想都开心
你需要的就是休息	昨天休息今天值班呢
你最喜欢跳什么舞	我最爱你
你们最好是让她一个人呆会儿	别总说我说说你啦
错过的机会永不再来	所以一定要把握机会
不要为此灰心丧气	好的，听你的就行了吔
他用枪把狮子打死了	小狮子中午好～
我认为你是不对的	你是我媳妇嘛
我从未看过那部电影	人类，不过如此耶～
我好久没见到你了	那你说见到我很开心呀
我独自一人但并不觉得寂寞	你觉得好，那就是最好的哇
我三天前去过那儿	因为我还小啊
这是一场友谊赛	友谊赛啦调侃一下呀
你想得真周到	我只想好好陪着你
我能和劳拉说话吗	我可以说不行吗
王先生在修他的自行车	动手能力真强
我弟弟正在找工作	想找什么样的工作呢
南希明年就退休了	还有将近四年退休啦
你没错他也没错	没等于有，无中生有耶
机不可失时不再来	下回必不失耶～
她匆忙穿上衣服	卖别人的衣服呢
她租了一辆按钟点计费的汽车	你得先回答我，你最喜欢谁呐
有人在按门铃	我家没有门铃
史密斯一家是我的邻居	你的邻居真有趣
这双鞋不太合适	晚七点合适啦
这才是上半场呢	不要迷恋姐，姐只是个传说呐
这钢笔不好写	你别炫耀你有钢笔呢
你想喝杯茶吗	可以，都有什么茶啊
你今天真漂亮	哇哇哇又有美女可以看啦
又有一只猫来到我家了	好的，好的
把你的答案跟我的核对一下	你来试试～哼
别瞒着我事实真相	是你瞒着我嘛
凡事都有开端	但是这种不适应的感觉很烦躁啦
他一下子就说到了点子上	你为什么老说他啊，多说自己好不好，伦家想多了解了解你
他工作落后了	什么工作好辛苦呀
他是世界上最快乐的人	听到你说快乐，感觉挺开心的
他既不抽烟也不喝酒	哼哼，神马都是浮云呀
他策马跑上小山	小八的的小山的呢
他使我想起了他的弟弟	然后呢
他工作效率高	什么工作好辛苦呀
只要不是干活他干什么都行	哈哈哈，真是懒到家了
他的父亲经营一家餐馆	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
我有事要告诉你	恩偷偷说嘛
我闻到了烧菜做饭的味道	吓得我都坐地上了嘛
我真想再看一遍	看完嘞
我要做的工作太多了	准备工作做了两次呢
咱们出去走走好吗	是啊，出去走走嘛
请让我核对一下帐单	需要在建设银行网点营业厅进行，带本人身份证即可
充足的睡眠有益于健康	所以要多休息哦
太阳从东方升起	不然从西面吗
这是因为我们能感到疼痛	哪有啊呵呵
你想要我做什么	没人想你说错了呀
你所说的完全符合事实	你看外面多么蓝的天，你是不是打算让我再也见不到这么蓝的天喔
你或者留下或者离开	考虑下我的心情，不要再说离开了～
你的生活是你自己的事	别总说我，说说你吧
发闪光的不全是黄金	莎士比亚作品威尼斯商人
你要举行聚会吗	昨天聚会的啊你没去啊
难道你不担心吗	担心什么呀
别忘了保持联系	别忘了什么
他又一次违背了诺言	他怎么可以这样啊
他穿着平常的衣服	什么样子的呢
他比我高一头	懒得跟你比呀
他带他们下山	你真是天才啊能想出这样的问题啦
他被培养成一名律师	他还可怜呐
我要走了	那你得带上我，我可是外出的好帮手哟
我身上没带现金	如果我在你身边就好了，就可以时时刻刻照顾你了呐
我开始发胖了	你为什么发胖啊
我刚刚读完这本书	刚刚发生什么了，太快了我没看到啦
我昨天上班迟到了	昨天的事情就让它随风而去吧
这故事似乎是真的	传说中的事情怎么能轻易相信
我必须开始做健身运动了	哦天哪我竟然不知道你想说什么
日本在中国的东部	日本仔中国的东北部
约翰向格雷斯求婚	真幸福
我的表比你的表快	哈哈，一般人比不了我呐
1949年新中国成立	新中国成立于1949年10月1日，毛泽东主席亲自宣布，并且举行了第一次阅兵
多谢你的夸奖	你客气了呢
他们把过失归咎于他	听到归咎，感觉有点坏
这车性能很好	很好我爱你嘛
这件工作本身很容易	容易这词可真有文采～
时间见真理	爱我万年真理假里呢
期待您的光临	我也是很期待的～
您觉得这个怎么样子	看上去好像很不错
今天天气怎么样	亲爱的，悄悄地告诉我你在哪个城市
红领带会配那件衣服	红领巾呢
潮湿的路往往是滑的	除了泥土
身教胜于言传	身教胜于言教和身教重于言教，这两句话的意思是一样的
直接回到起始位置	回到开始不是很好吗
他做事都漫无目标	没事儿就找点事儿～
他对长辈很恭敬	我不关心他，我只关心我的你
他比我懂英语	懒得跟你比嘛
他决心戒烟	有这个决心就很好啊
他的报告涉及很多课题	很多这词可真有文采～
我担心他喝的酒太多了	听到担心，感觉有点坏
我每个月都理发	我和你想的差不多啦
我想有一份兼职工作	你白日做梦啊
对不起打扰你了	别说打扰
这事没有你想象的那么简单	天空飘来五个字，那都不是事儿耶
不要发脾气	发脾气勒喔
说谎和偷窃都是不道德的	你说得对
我的努力毫无结果	嗯我还要努力～
我的假牙还在上边呢	暂时还未镶过假牙啦
她是位写竖琴曲的作曲家	好像和我没多大关系吧
请送我去机场	机场总有那么多重逢还有别离耶
和你谈话很愉快	你开心最重要呀
鸡蛋按打卖	首先你要有鸡蛋呀
这个价格正好抵消成本	这个稍微有点难，给我一点时间耶～
这件毛衣质地很好	我觉得我很好呢
老师有点生气了	不会的这节课的老师只要求我们不吵哇
三思而后行	不要，让我失迷自己，我不想这样，
瓦特发明了蒸汽机	这是他的奇妙思想
我们意见分歧	分歧这词可不怎么样
不论我说什么他都不同意	赶紧离婚吧
来的人我们都欢迎	欢迎阿来呀
你看上去好像满不在乎	相比较看，我更喜欢用心感受嘛
你应该亲自看看它	好吧，你说应该就应该哇
把你的椅子拉到桌子旁边来	你想把我怎么样呀
他给自己盖上一条被	你确定是他给的吗
他觉得我讲课有趣	只要是你喜欢的，我都觉得棒棒哒
他在这儿有很多朋友	看来他不够爱你啊
他大概只有五英尺高	他大舅他二舅都是他舅啦
她全家人都是音乐爱好者	我也很喜欢音乐
我很忙你的生意做得怎样	别总说我，说说你吧
我认为那电影不怎么样	你觉得好，那就是最好的吔
我想吃一个冰淇淋	冰淇淋确实好吃
我发现他在椅子上坐着	你发现的东西好伟大啊
我在这辆破车上花了不少时间	亲，等等我，我找你去哈
我在这附近掉了门钥匙	亲，等等我，我找你去哈
我不是在猜想我真的知道	那你是什么意思～
是该告诉她真相的时候了	妥妥滴呀
咱们点上蜡烛看电视吧	只要开心就好啊哈
大部分游戏差不多都是这个价钱	对的，都是这样
我父母想让我出国	我问你出国过吗
她一直收集邮票	啊没看全收集的怎么样嘛
天上有很多星星	你想要一颗吗摘给你
我们是今天下午到达伦敦的	我当得了女神，装得了萝莉，扮得了御姐，卖得了萌嘛
先吃点比萨饼怎么样	目前还不会呀，和我聊点别的吧
你最好三思而后行	我最爱你
我想你知道我在说什么	你一定知道我懒得想你在想什么
他已经病了几周了	有一天晚上，正好趁医院没关门的时候，溜出来了喔
他详细检查车子有无效障	自己能检查得出来吗
我把你算作我的一个朋友	你真的是很厉害呢
我每天骑自行车上学	我曾经和一个人擦肩而过，擦出了火花，险些动起砖头
我收集了很多唱片	好听的唱片～
今天我不可能去看他	看谁去呢
如果需要的话我会叫出租车的	支付宝有个滴滴打车，上面叫就有了，记得
瓶子里还有糖吗	放瓶子作甚呐
这是你我之间的秘密	既然是秘密那就不能说哇
你帮助我真是太好了	不帮，自己来嘛
我们将蛋糕分成三份吧	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
耐心是自信心的一种表现	我想我们应该会成为好朋友的耶～
苏珊将完成大学学业	说明苏珊完全放松下来，接受了老师的善意
这是我关于友谊的看法	好厉害，友谊你都知道～
你要的那本书已经售完了	想了想还是不要了呢
那男孩紧张得说不出话来	男多女少，就好比狼多肉少
戏随时都有可能开始	大三的也有可能啊
这种药膏能治疗轻微烧伤	好囧啊好囧吔
阳光下大海波光粼粼	听到你说波光粼粼，感觉挺开心的
老师用英文考我们	英语真让人心烦对吗
河上有一座桥	铤而走险，独木难支，过河拆桥
他们各自骑着自己的自行车	不发表意见，仅表示支持耶
他们将于半小时之内到达	你说的也许没错，但是你怎么证明呢
时间比金钱宝贵	我宝贵爱你喔
我们都赞同这项计划	赞同这词可真有文采～
我们是今天下午到达伦敦的	希望你在今后的每一天都过的健康幸福耶～
我俩喝完了一瓶酒	我喝完酒还杀人呢
她是一个多么可爱的小女孩耶	好像和我没多大关系吧
你能到我的住处来接我吗	哼哼，神马都是浮云呢
你可以喜欢什么就选什么	好的
你过敏吗	还不会呢不过想学嘛
毫无疑问你是对的	哎呀还真是我啊
我计划今天除院子里的草	一声叹息，我没懂啦
但是这些家务活谁来做呢	妈蛋居然被发现了啦
请随手关门	你是我最喜欢的人啦
你可以随时来见我	我怀疑你的真实动机呀
不要把椅子拖来拖去孩子们	我知道了
他开车比你小心	他还挺好的，是么
他昨天请我吃晚饭了	亲爱的，悄悄地告诉我你在哪个城市的哪个地方
他打了那个攻击者一耳光	打得好
他突然在晚会上出现了	小萝莉一枚嘎嘎嘎
她的手袋和她的衣服很搭配	此刻，我更愿意保持沉默耶
哦到了3排2号和3号	放心吧
他的老板也许会生他的气	老板气大
我打算今天晚上到那儿去	打算再多，都不如立即行动耶～
我真的需要减肥了	嗯这个可以有我想减肥都减不成呢
我想你打错号码了	不想我想谁～
我宁愿独自呆在家	目前在家没工作呢
我想看看毛衣	自己上淘宝呀
它的起源至今仍是个谜	我老爱你了呢
金钱不过是我们的仆人	就是说金钱可以为我们服务，当我们是主人的时候金钱是我们的好仆人
一旦开始你就得继续	然后呢，继续说下去哇
她虽穷人品却很端正	穷人这词可不怎么样
她花了很多钱来买书	很多这词可真有文采～
穿红衣服的那个女孩是他的女朋友	是这张吗再附赠一张
窗户下面有一把椅子	有一部电视剧有几个人是找椅子好像是椅子里面有什么东西其中一个人还在上学每天从窗户那下来
他们雇用他为顾问	你不了解没事我当你顾问呢
老实说我20岁	我是老实呀
我们经常叫他的绰号	都听你的啊
你明晚有空吗	然后呢
你要留话吗	你猜－v－
时光不能倒流	知道你叫时光呢
你还是把事实告诉我为好	没什么好说的
你的祖父母还在么	别总说我，说说你吧
你能认出那个女人是谁了吗玛丽	是谁有那么重要吗
你对我有什么建议么	我去也没怎么玩，感觉没什么建议喔
他是一个硬汉子不过我要比他更硬	你真厉害
他设法穿过了森林	九新穿过两次啦
他建议你立刻离开这儿	离开这词可不怎么样
他和我的一个朋友结了婚	摆正心态，做个好人一心一意，过好日子
他会责备你的粗心大意	他不会的，你放心啦
我可以给你说出很多韵理由	我可以说不行吗
我不怀疑他会援助我	听到不怀，感觉有点坏
希望您在这儿过的愉快	愉快这词可真有文采～
我愿意消除一下我们之间的分歧	人活着要随性，但也要有原则，在底线之上大胆的做吧
这事不值得大惊小怪	这算什么事儿呀
盯着别人看是不礼貌的	不礼貌这词可不怎么样
鲍伯一直在爱着露茜	嘘我正在思考人生呢
让我们休息一会儿去吃午饭	亲爱的，那你想干嘛呢
琳达说话总好象她是老板	这种感觉真让人不好
她变得越来越漂亮了	越来越好呢
万一下雨我们该怎么办	所以得提前查天气哦
该书受版权保护	沉默是金，我想我现在很有钱
冰已经厚得可以划冰了	从你的问题上我大致可以理解到你学习的进程我不知你对速滑的基本动作是怎样体会的，但我觉得强调一些核心问题仍然有参考意义
价格包括邮资在内	包邮嘛
这是我给你们的一点心意	越来越喜欢你了嘛
他最喜欢开玩笑	等下，我给你讲个笑话，，讲完了哇
除了杰克谁会做这种事呢	你想表达什么意思
你必须有自己的主见	本来就有啊
你很快就会习惯于这项工作的	其实也还好啦
哥伦布于1492年发现了美洲	他是第一个踏足美洲的人嘛
上帝帮助那些自己帮自己的人	那上帝怎么办
他存了一大笔钱	给楼主挽尊～
他给自己投了巨额的人身保险	你确定是他给的吗
他过去总是死记硬背	死记这词可不怎么样
他生气的时候很可怕	人生苦短，没啥好生气的哇
我正在去杂货店的路上	然后呢，继续说下去～
你老让我等你真是烦透了	考虑下我的心情，不要再说真是烦了～
我感谢约翰的及时帮助	不要问我的名字，请叫我雷锋啦
它发行的当天我就买了	我想我们应该会成为好朋友的呀
我怀疑那故事是不是真的	笑而不语是一种豁达呀
我获悉我测验及格了	你给我测验嘛
我将请教医生的意见	宝宝黄疸值高建议宝宝蓝光照射退黄，如果不好消退，给宝宝输白蛋白，同时给宝宝查病毒
冰淇淋深受孩子们的欢迎	我也很喜欢冰淇淋
我要冲洗这卷胶卷	我不原谅你呢冲洗呢
总之我对一切都很厌倦	厌倦这词可不怎么样
我们自己做这件事可以吗	哼哼，神马都是浮云呀
请问你们需要多少数量的货物	精辟耶
没有人曾解决过这个问题	那我肯定也不知道
我们学校占地面积很大	什么样的学校
人们非常喜爱这些邮票	从前，在海边住着一个非常喜爱海鸥的人
这位编辑漏掉了一个印刷错误	越来越喜欢你了呢
突然的狗叫声吓坏了克拉拉	淡定淡定
队员们都进场了	有队员就出发嘛
他的衬衣上有一块墨迹	赶快洗洗吧
瓶子里一点水也没有	那是我的瓶子呀
这个玩笑开得有点过分了	等下，我给你讲个笑话，，讲完了吔
我们是今天下午到达伦敦的	恩，稍等下，刚刚有人说喜欢我，我得先问问他为什么
我们不能出去因为下雨了	让我们谈下人生吧
